name	figi	ticker	class_code	country_of_risk
Freedom Holding Corp/NV	US3563901046	US3563901046	SPBXM_OTC	RU
ЗИЛ	TCS639686193	RU0009086193	A36	RU
Липецкая энергосбытовая компания	TCS00A0D8MR7	LPSB	TQPI	RU
Solidcore Resources plc	JE00B6T5S470	JE00B6T5S470	SPBXM_OTC	RU
ИНАРКТИКА	TCS10A0JQTS3	AQUA	PSSU	RU
Европейская Электротехника	TCS00A0JWW54	EELT	PTEQ	RU
НЛМК	TCS209046452	RU0009046452	TILA21	RU
HHRU_OTC	ISSUANCEHHRU	ISSUANCEHHRU	ISSUANCEHHRU	RU
ТКС Холдинг	TCS40A107UL4	RU000A107UL4	BLA	RU
Циан АДР	TCS4428T1088	US83418T1088	000	RU
Ozon Holdings PLC	BBG00Y91R9T3	OZON	TQBR	RU
Галс-Девелопмент	BBG000GVC474	HALS	TQBR	RU
Роснефть	TCS7081J2Q06	RU000A0J2Q06	A36	RU
ТНС энерго Воронеж - привилегированные акции	BBG000JXYY95	VRSBP	TQBR	RU
БМ-Банк	BBG000FWR6R0	MMBM	TQBR	RU
SPO Белуга Групп ПАО	ISSUANCEBELG	ISSUANCEBELG	ISSUANCEBELG	RU
Сургутнефтегаз	TCS108926258	SNGS	SMAL	RU
Вторая генерирующая компания оптового рынка электроэнергии	BBG000RK52V1	OGKB	TQBR	RU
IPO Диасофт	ISSUANCEDIAS	ISSUANCEDIAS	ISSUANCEDIAS	RU
КАМАЗ	TCS604759580	RU0008959580	A36	RU
АФК Система	TCS20A0DQZE3	RU000A0DQZE3	TILA21	RU
НЛМК	TCS909046452	NLMK	D6	RU
КИФА	RU000A108ZF3	QIFA	TQBR	RU
HeadHunter Group PLC	TCS5207L1061	US42207L1061	US42207L1061_RZB	RU
Лента	TCS634602S15	RU000A102S15	A36	RU
МГТС	BBG000NT5184	MGTS	TQBR	RU
ИНАРКТИКА	TCS20A0JQTS3	AQUA	PTEQ	RU
КарМани	TCS30A105NV2	RU000A105NV2	TILA21	RU
Новошип - ао	TCS009084453	NOMP	MTQR	RU
VEON	BBG000QCW561	VEON	SPBXM	RU
Globaltrans Investment PLC	BBG000VFX6Y4	GLTR	TQBR	RU
Артген	TCS20A0JNAB6	ABIO	SPEQ	RU
КуйбышевАзот - Акции привилегированные	BBG002B9T6Y1	KAZTP	TQBR	RU
Трубная Металлургическая Компания	TCS20A0B6NK6	RU000A0B6NK6	TILA21	RU
Газпром нефть	TCS109062467	RU0009062467	TILA21	RU
Роснефть	TCS00A0J2Q06	ROSN	SPEQ	RU
ЛУКОЙЛ	TCS216224277	RU0009024277	A36	RU
Элемент	TCS133102093	RU000A102093	A36	RU
Красноярскэнергосбыт - привилегированные акции	BBG000VPC6Y5	KRSBP	TQBR	RU
IPO Делимобиль	ISSUANCEDEMO	ISSUANCEDEMO	ISSUANCEDEMO	RU
М.Видео	TCS00A0JPGA0	MVID	SPEQ	RU
HENDERSON	TCS10A106XF2	HNFG	PSSU	RU
